high,low,volume,close,open,time
1502.3,1462.65,14446260.0,1464.95,1490.0,1649788200000
1506.85,1480.15,13717701.0,1493.5,1484.0,1649701800000
1510.0,1493.25,10399533.0,1496.15,1506.0,1649615400000
1525.75,1497.3,20628161.0,1514.65,1512.1,1649356200000
1541.35,1513.7,20390866.0,1516.75,1541.3,1649269800000
1589.8,1547.35,13513930.0,1550.85,1587.7,1649183400000
1666.7,1602.0,15461291.0,1608.25,1666.7,1649097000000
1722.1,1562.55,48725485.0,1656.8,1580.0,1649010600000
1510.0,1470.3,7284278.0,1506.0,1476.4,1648751400000
1484.7,1465.9,7147857.0,1470.35,1471.0,1648665000000
1482.75,1454.05,10054871.0,1476.95,1472.0,1648578600000
1460.25,1430.0,6188724.0,1451.8,1441.0,1648492200000
1438.0,1401.6,7877443.0,1432.8,1430.9,1648405800000
1452.0,1419.0,8183231.0,1430.9,1451.0,1648146600000
1469.65,1434.55,10080022.0,1442.65,1466.0,1648060200000
1518.8,1473.6,15594128.0,1479.25,1507.0,1647973800000
1498.0,1457.2,5230907.0,1494.15,1481.3,1647887400000
1493.65,1472.8,6128938.0,1486.5,1487.0,1647801000000
1489.8,1470.55,7411977.0,1480.05,1472.0,1647455400000
1455.0,1436.2,6682054.0,1448.15,1447.0,1647369000000
1449.5,1411.75,9433964.0,1424.0,1443.5,1647282600000
1450.0,1415.0,12509063.0,1442.55,1415.0,1647196200000
1408.95,1372.7,7575390.0,1396.8,1388.0,1646937000000
1427.0,1380.25,11136603.0,1392.7,1427.0,1646850600000
1374.7,1318.85,11567347.0,1371.15,1330.0,1646764200000
1334.0,1292.0,19606246.0,1327.8,1302.2,1646677800000
1332.35,1297.05,13527229.0,1324.8,1318.5,1646591400000
1386.0,1336.9,10609682.0,1366.5,1360.0,1646332200000
1392.0,1362.9,8763961.0,1371.0,1381.0,1646245800000
1398.4,1354.4,19252780.0,1374.25,1386.5,1646159400000
1438.55,1414.05,12440416.0,1426.25,1426.0,1645986600000
