high,low,volume,close,open,time
1564.4,1523.75,30852125.0,1529.65,1559.0,1695321000000
1568.95,1537.05,36420721.0,1553.35,1553.0,1695234600000
1599.0,1560.4,57737324.0,1563.7,1599.0,1695148200000
1655.0,1626.1,18528144.0,1629.05,1653.75,1694975400000
1670.0,1650.0,86705601.0,1661.75,1650.0,1694716200000
1650.0,1635.1,11769424.0,1642.9,1644.25,1694629800000
1651.6,1628.6,23210047.0,1643.9,1631.3,1694543400000
1642.9,1625.05,19516670.0,1636.9,1640.0,1694457000000
1636.5,1624.0,15786511.0,1631.8,1628.9,1694370600000
1632.9,1607.6,17251105.0,1623.4,1608.3,1694111400000
1614.0,1587.15,17104171.0,1610.85,1595.5,1694025000000
1600.0,1574.9,28160455.0,1595.5,1576.8,1693938600000
1588.4,1570.6,19356041.0,1574.9,1588.4,1693852200000
1591.45,1574.9,12536819.0,1584.55,1590.0,1693765800000
1579.0,1559.35,21613388.0,1574.7,1571.0,1693506600000
1583.15,1563.1,50037886.0,1571.45,1579.0,1693420200000
1603.95,1573.7,14042102.0,1578.7,1603.95,1693333800000
1592.65,1581.45,17769466.0,1590.3,1589.7,1693247400000
1582.65,1561.5,14433619.0,1577.75,1561.5,1693161000000
1577.5,1558.4,15034878.0,1561.5,1574.55,1692901800000
1596.2,1576.15,21572896.0,1579.3,1593.3,1692815400000
1590.55,1573.25,18249294.0,1586.6,1580.0,1692729000000
1598.0,1580.0,16136785.0,1582.7,1596.35,1692642600000
1600.5,1587.0,10918635.0,1589.5,1600.5,1692556200000
1596.3,1585.5,12816683.0,1590.75,1587.55,1692297000000
1609.9,1594.0,26442020.0,1597.3,1597.6,1692210600000
1609.65,1581.3,17068771.0,1606.2,1583.1,1692124200000
1615.0,1600.25,15652205.0,1610.9,1611.0,1691951400000
1638.4,1616.2,14112911.0,1618.8,1638.4,1691692200000
1654.25,1631.0,25390559.0,1635.85,1647.05,1691605800000
1654.5,1631.1,16680618.0,1650.5,1653.0,1691519400000
1655.6,1642.05,21886914.0,1649.9,1651.7,1691433000000
1663.1,1647.55,14150459.0,1651.25,1663.1,1691346600000
1656.5,1629.25,18694152.0,1652.2,1635.15,1691087400000
1651.35,1623.0,28836973.0,1628.65,1640.0,1691001000000
1651.5,1633.15,14058161.0,1640.5,1642.0,1690914600000
1667.45,1650.0,17697094.0,1662.25,1654.45,1690828200000
1656.8,1638.7,17282503.0,1651.2,1650.05,1690741800000
1668.9,1641.1,20507842.0,1643.5,1661.5,1690482600000
1703.0,1667.45,29870651.0,1673.15,1699.9,1690396200000
1699.6,1688.0,12397179.0,1690.7,1699.6,1690309800000
1699.0,1678.4,27996298.0,1696.6,1684.65,1690223400000
1684.65,1670.1,16089722.0,1678.4,1678.5,1690137000000
1689.8,1673.25,21077124.0,1675.75,1680.0,1689877800000
1692.0,1680.0,28105474.0,1688.75,1681.15,1689791400000
1688.75,1675.0,16467567.0,1685.1,1681.1,1689705000000
1704.0,1670.0,40538409.0,1677.5,1698.0,1689618600000
1682.0,1633.0,24626464.0,1678.9,1650.0,1689532200000
1653.6,1635.0,12363607.0,1644.5,1653.6,1689273000000
1657.45,1638.05,20956773.0,1641.1,1656.7,1689186600000
1666.3,1627.15,35479179.0,1632.95,1655.35,1689100200000
1676.0,1645.5,25335213.0,1648.4,1663.0,1689013800000
1676.75,1649.7,19199221.0,1656.45,1661.0,1688927400000
1675.0,1656.3,9963168.0,1660.4,1665.0,1688668200000
1687.85,1660.4,26078272.0,1675.0,1673.0,1688581800000
1720.0,1668.55,18582877.0,1673.3,1716.25,1688495400000
1747.0,1713.8,19397594.0,1728.2,1723.45,1688409000000
1757.5,1710.0,22052058.0,1719.8,1712.5,1688322600000
1708.8,1683.25,20349508.0,1701.4,1704.0,1688063400000
1679.9,1660.5,29781475.0,1676.15,1670.0,1687890600000
1672.9,1638.55,16915932.0,1658.6,1642.95,1687804200000
1650.75,1628.7,8065157.0,1635.55,1645.0,1687717800000
1659.9,1634.05,10669609.0,1643.5,1637.55,1687458600000
1657.55,1639.05,28298070.0,1643.6,1640.0,1687372200000
1637.25,1611.0,12154473.0,1635.6,1616.0,1687285800000
1611.0,1590.65,10002813.0,1607.5,1604.15,1687199400000
1614.25,1598.35,12414573.0,1604.15,1611.0,1687113000000
1609.2,1584.0,7889636.0,1602.75,1587.15,1686853800000
1605.95,1579.0,17688738.0,1582.05,1604.0,1686767400000
1612.0,1600.2,10056984.0,1601.75,1610.45,1686681000000
1609.0,1590.1,13963054.0,1603.5,1590.1,1686594600000
1615.8,1599.45,6704146.0,1600.8,1612.55,1686508200000
